Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|Q9Y2P8|RCL1_HUMAN	Q9Y2P8	RCL1_HUMAN	RCL1	373	Homo sapiens	RNA 3'-terminal phosphate cyclase-like protein	1:Experimental evidence at protein level	34.32	1.0000	0.9990	13	13	13	16	16	16	171597892	171597892	171597892	12C(57.0214), 12K(304.2071), 15K(304.2071), 2C(57.0214), 3K(304.2071), 3M(15.9949), 5C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)			3013727.9023	2747801.4844	3741776.7617	3329752.7559	3303315.0840	3193574.9668	3405105.5938	3393179.7910	2950570.1523	4086062.2461	4285996.4590	5077051.2207	3836928.3926	4302436.3496	3960883.1699	2152097.4121	2013026.6406	2049629.9590
sp|Q9Y2Q0|AT8A1_HUMAN	Q9Y2Q0	AT8A1_HUMAN	ATP8A1	1164	Homo sapiens	Phospholipid-transporting ATPase IA	1:Experimental evidence at protein level	10.05	1.0000	0.9990	10	9	10	11	10	11	17307756	17307756	17307756	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 13M(15.9949), 14K(304.2071), 6C(57.0214), 8K(304.2071), N-term(304.2071)			552032.9492	516660.6992	622394.6289	579009.4102	558055.3320	553861.4375	625989.5898	652487.9844	541497.7500	592334.0859	719745.3633	756052.7969	610355.7539	684046.3203	612046.2969	393075.3750	324997.6387	341953.0781
sp|Q9Y2Q5|LTOR2_HUMAN	Q9Y2Q5	LTOR2_HUMAN	LAMTOR2	125	Homo sapiens	Ragulator complex protein LAMTOR2	1:Experimental evidence at protein level	24.00	1.0000	0.9989	3	3	3	7	7	7	85767356	85767356	85767356	11K(304.2071), 4M(15.9949), 6C(57.0214), 7C(57.0214), 7M(15.9949), 8M(15.9949), 9K(304.2071), N-term(304.2071)			1649592.9141	1526157.2305	1998816.7578	1827078.1836	1886448.1445	1818000.4336	1978696.7344	1973372.0625	1705343.8398	2310350.2109	2378675.7930	2826810.9219	2204832.7578	2410368.3047	2272285.3789	1617775.5586	1444089.5938	1469396.3672
sp|Q9Y2R4|DDX52_HUMAN	Q9Y2R4	DDX52_HUMAN	DDX52	599	Homo sapiens	Probable ATP-dependent RNA helicase DDX52	1:Experimental evidence at protein level	12.19	1.0000	0.9990	8	7	7	11	10	10	300948568	300948568	300948568	11C(57.0214), 12K(304.2071), 18K(304.2071), 1K(304.2071), N-term(304.2071)			3399491.6484	3111432.6172	4039971.0391	3697146.9609	3802649.3281	3696285.0234	4114139.9531	4181008.5625	3462145.3633	4537722.5156	4807661.9922	5727132.9844	4605264.4062	5193298.5312	4920738.5469	3018437.4766	2756522.9805	2747473.4961
sp|Q9Y2S6|TMA7_HUMAN	Q9Y2S6	TMA7_HUMAN	TMA7	64	Homo sapiens	Translation machinery-associated protein 7	1:Experimental evidence at protein level	51.56	1.0000	0.9988	5	5	5	13	13	13	977115456	977115456	977115456	10K(304.2071), 1K(304.2071), 2K(304.2071), 2M(15.9949), 4K(304.2071), 6K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			2414858.9590	2201983.9102	2941361.4766	2803466.8438	2807631.2871	2631130.4531	2920310.0957	2828513.6406	2364226.4238	2752208.4121	2964503.8750	3627245.9648	2799806.0820	3079558.1211	2851385.5391	2115075.5625	1962726.4297	1949249.0859
sp|Q9Y2S7|PDIP2_HUMAN	Q9Y2S7	PDIP2_HUMAN	POLDIP2	368	Homo sapiens	Polymerase delta-interacting protein 2	1:Experimental evidence at protein level	36.41	1.0000	0.9990	13	13	13	20	20	20	342001560	342001560	342001560	10K(304.2071), 12K(304.2071), 13K(304.2071), 2C(57.0214), 8K(304.2071), N-term(304.2071)			6809155.4883	6503218.6113	8275564.4355	7501750.9062	7464260.9902	7408693.0332	8014786.4434	8106381.5508	6901713.0410	8052987.4492	8768580.2500	10495967.6367	7969894.4121	8960161.6250	8220399.9961	2827527.9463	2707003.3076	2792531.8750
sp|Q9Y2T2|AP3M1_HUMAN	Q9Y2T2	AP3M1_HUMAN	AP3M1	418	Homo sapiens	AP-3 complex subunit mu-1	1:Experimental evidence at protein level	29.19	1.0000	0.9990	10	7	10	22	17	22	79155884	46287890	79155884	10C(57.0214), 10K(304.2071), 11M(15.9949), 12M(15.9949), 13K(304.2071), 14K(304.2071), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			1657213.4863	1563872.4785	2072105.6445	1855058.7246	1900629.4941	1783302.0781	2001667.0273	1968865.2266	1689886.1367	2047547.7070	2162567.8652	2563636.3828	1915171.2852	2160293.5332	2034672.0859	1330967.1387	1253467.0410	1210051.7402
sp|Q9Y2T7|YBOX2_HUMAN	Q9Y2T7	YBOX2_HUMAN	YBX2	364	Homo sapiens	Y-box-binding protein 2	1:Experimental evidence at protein level	20.33	1.0000	0.9989	7	3	3	40	4	4	1600024340	53573611	1600024340	N-term(304.2071)			890484.4219	847716.1016	1080721.4453	977281.0156	958124.2812	942017.3984	1062629.2344	1052162.5078	910058.0625	922105.5312	983134.9609	1167658.8047	635973.9141	717592.1406	637008.8281	462826.3477	410362.8398	450626.4297
sp|Q9Y2U5|M3K2_HUMAN	Q9Y2U5	M3K2_HUMAN	MAP3K2	619	Homo sapiens	Mitogen-activated protein kinase kinase kinase 2	1:Experimental evidence at protein level	10.02	1.0000	0.9990	6	4	4	9	6	6	19162810	7209656	19162810	11M(15.9949), 12K(304.2071), 13K(304.2071), 2M(15.9949), 5C(57.0214), 7C(57.0214), N-term(304.2071)			270699.1055	263536.6152	350303.7793	316285.0820	319497.5801	305111.6484	333337.9336	323458.4883	259751.6406	350531.9727	371529.7188	440528.2578	330196.9512	377342.4297	349341.9336	226577.5957	212762.5430	216494.8369
sp|Q9Y2U8|MAN1_HUMAN	Q9Y2U8	MAN1_HUMAN	LEMD3	911	Homo sapiens	Inner nuclear membrane protein Man1	1:Experimental evidence at protein level	13.72	1.0000	0.9990	10	10	10	20	20	20	51664654	51664654	51664654	10C(57.0214), 12K(304.2071), 15K(304.2071), 18K(304.2071), 1C(57.0214), 3C(57.0214), 5M(15.9949), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1909428.1758	1844242.7080	2408929.4180	2201899.6328	2152263.3926	2099475.8291	2278999.1973	2344205.1309	1993071.4648	2083335.1035	2306652.6191	2679614.2109	2079018.1055	2301264.6133	2134793.0059	1818217.3789	1679515.9033	1810498.3105
sp|Q9Y2V2|CHSP1_HUMAN	Q9Y2V2	CHSP1_HUMAN	CARHSP1	147	Homo sapiens	Calcium-regulated heat-stable protein 1	1:Experimental evidence at protein level	28.57	1.0000	0.9990	4	4	4	4	4	4	144976776	144976776	144976776	16K(304.2071), 8K(304.2071), N-term(304.2071)			1232811.7891	1123739.9844	1444234.2344	1362580.7422	1412751.0547	1364018.3750	1501961.4844	1435337.7188	1279029.3125	1332042.2109	1422470.4219	1714883.1094	1292517.3594	1407001.7969	1374038.8750	1280619.5938	1176686.0391	1219603.8047
sp|Q9Y2V7|COG6_HUMAN	Q9Y2V7	COG6_HUMAN	COG6	657	Homo sapiens	Conserved oligomeric Golgi complex subunit 6	1:Experimental evidence at protein level	11.72	1.0000	0.9990	8	8	8	10	10	10	65213570	65213570	65213570	4M(15.9949), 8M(15.9949), 9K(304.2071), N-term(304.2071)			1676597.8730	1539790.5547	2055501.9609	1916207.6172	1887064.0469	1881646.5664	1964128.6875	1969693.4922	1692810.6602	2148740.2461	2294171.6133	2733046.9922	2080264.8750	2358712.2461	2161310.9727	1550103.2148	1408588.9043	1503572.5625
sp|Q9Y2W1|TR150_HUMAN	Q9Y2W1	TR150_HUMAN	THRAP3	955	Homo sapiens	Thyroid hormone receptor-associated protein 3	1:Experimental evidence at protein level	20.31	1.0000	0.9990	22	22	22	54	54	54	1131939872	1131939872	1131939872	10K(304.2071), 13K(304.2071), 14K(304.2071), 17K(304.2071), 1K(304.2071), 2K(304.2071), 5K(304.2071), 7K(304.2071), 8K(304.2071), 9M(15.9949), N-term(304.2071)			21360947.7949	20072432.4512	26385683.4395	22507408.2598	23335153.7129	22550629.1719	25867327.5762	24437304.0059	21602472.4121	25498084.5820	27591294.7148	31753515.6211	26045440.2520	28910988.5703	27651305.5098	17171729.5664	14904199.7969	15640494.1484
sp|Q9Y2W2|WBP11_HUMAN	Q9Y2W2	WBP11_HUMAN	WBP11	641	Homo sapiens	WW domain-binding protein 11	1:Experimental evidence at protein level	24.49	1.0000	0.9990	20	20	20	65	65	65	236625380	236625380	236625380	11K(304.2071), 15K(304.2071), 17K(304.2071), 1K(304.2071), 21K(304.2071), 2M(15.9949), 4K(304.2071), 4M(15.9949), 5M(15.9949), 6M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			9899210.0693	9345342.2422	12089433.9160	11168220.9121	11150682.8828	10636409.1641	12204043.3203	11490059.2520	10046544.7812	13027437.3682	13706256.8555	16522075.8711	12166812.3633	13551779.1367	12661376.3398	7466830.2051	6918073.5107	7141135.4912
sp|Q9Y2X0|MED16_HUMAN	Q9Y2X0	MED16_HUMAN	MED16	877	Homo sapiens	Mediator of RNA polymerase II transcription subunit 16	1:Experimental evidence at protein level	7.87	1.0000	0.9990	7	7	7	7	7	7	40612618	40612618	40612618	10M(15.9949), 11K(304.2071), 14K(304.2071), 2C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			819324.4902	744127.8574	1016289.4727	877836.0195	898660.3984	844325.3926	913543.0898	933196.6680	791631.1719	906820.9102	962725.3789	1141500.0547	892158.4062	1029702.5039	934002.2070	758848.0352	718651.1641	677433.0566
sp|Q9Y2X3|NOP58_HUMAN	Q9Y2X3	NOP58_HUMAN	NOP58	529	Homo sapiens	Nucleolar protein 58	1:Experimental evidence at protein level	38.19	1.0000	0.9990	20	20	20	99	99	99	1093838224	1093838224	1093838224	10K(304.2071), 11M(15.9949), 12K(304.2071), 12M(15.9949), 13C(57.0214), 13K(304.2071), 14K(304.2071), 15K(304.2071), 15M(15.9949), 17M(15.9949), 1K(304.2071), 2K(304.2071), 2M(15.9949), 3M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6K(304.2071), 7C(57.0214), 7K(304.2071), 7M(15.9949), 9C(57.0214), 9K(304.2071), N-term(304.2071)			21428281.7891	19218584.3564	24569565.0898	22468830.0098	22889507.1504	22382295.7656	23995214.6543	24044432.5723	20483825.6250	24068164.1094	25313181.1348	29665711.0801	22775553.5957	25493970.9277	23994746.7949	14622718.3604	12975613.9736	13788754.6650
sp|Q9Y2X7|GIT1_HUMAN	Q9Y2X7	GIT1_HUMAN	GIT1	761	Homo sapiens	ARF GTPase-activating protein GIT1	1:Experimental evidence at protein level	28.52	1.0000	0.9990	20	16	20	25	19	25	159178596	159178596	159178596	15K(304.2071), 1K(304.2071), 20K(304.2071), 24K(304.2071), 4C(57.0214), 5C(57.0214), 6M(15.9949), 7C(57.0214), 8C(57.0214), 8K(304.2071), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			7385185.1045	7174371.7285	9242621.2793	8448794.3555	8237681.4922	8452259.5762	8956942.0762	8932079.5449	7689363.4268	9864710.4238	10592016.3340	12590118.7930	9596311.4375	10773475.8320	10050678.7852	6611688.7617	6604759.1318	6131006.4092
sp|Q9Y2X9|ZN281_HUMAN	Q9Y2X9	ZN281_HUMAN	ZNF281	895	Homo sapiens	Zinc finger protein 281	1:Experimental evidence at protein level	18.32	1.0000	0.9990	12	11	11	20	19	19	126125114	116600704	126125114	10K(304.2071), 14K(304.2071), 1C(57.0214), 1K(304.2071), 29K(304.2071), 30K(304.2071), 3K(304.2071), 3M(15.9949), 4C(57.0214), 5K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			2779123.4775	2650124.4941	3475277.9980	3366168.3730	3475981.0781	3452954.4277	3629560.2070	3718203.8242	3142237.8828	3680730.7129	3843135.1816	4566286.9727	3377588.8184	3834475.5996	3654442.5391	1566289.7236	1360055.9482	1518505.5547
sp|Q9Y2Y1|RPC10_HUMAN	Q9Y2Y1	RPC10_HUMAN	POLR3K	108	Homo sapiens	DNA-directed RNA polymerase III subunit RPC10	1:Experimental evidence at protein level	26.85	1.0000	0.9990	3	3	3	4	4	4	9158012	9158012	9158012	11K(304.2071), 1C(57.0214), 2C(57.0214), 6C(57.0214), N-term(304.2071)			194281.9004	172628.0840	238557.7383	199046.3945	206609.4863	193398.2812	220941.7109	220358.8633	189276.6875	214456.9648	218742.9570	259698.4805	210606.3594	229975.0625	217331.6445	112380.2441	100143.9141	100221.7266
sp|Q9Y2Y9|KLF13_HUMAN	Q9Y2Y9	KLF13_HUMAN	KLF13	288	Homo sapiens	Krueppel-like factor 13	1:Experimental evidence at protein level	19.10	1.0000	0.9990	5	5	5	6	6	6	14925901	14925901	14925901	1C(57.0214), 6C(57.0214), 8K(304.2071), N-term(304.2071)			572808.5781	524741.6094	689252.3984	612165.6406	575713.6172	557284.0391	686441.6406	663922.0547	572529.5078	605001.4609	596081.8828	707258.6250	546347.8359	615688.7344	549138.9688	354295.2148	309663.6875	325257.6992
sp|Q9Y2Z0|SGT1_HUMAN	Q9Y2Z0	SGT1_HUMAN	SUGT1	365	Homo sapiens	Protein SGT1 homolog	1:Experimental evidence at protein level	13.70	1.0000	0.9990	7	7	7	24	24	24	316533032	316533032	316533032	10K(304.2071), 10M(15.9949), 13K(304.2071), 14K(304.2071), 1K(304.2071), 3C(57.0214), 4C(57.0214), 6K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3537215.3789	3364151.3945	4403377.1484	3877479.2305	4011896.6367	3885070.1875	4118615.6484	4100703.7500	3556941.0000	4313207.3516	4613098.3320	5681671.5938	4902513.4609	5445329.4922	4994568.4883	3546686.1328	3135582.8203	3267385.5254
sp|Q9Y2Z2|MTO1_HUMAN	Q9Y2Z2	MTO1_HUMAN	MTO1	717	Homo sapiens	Protein MTO1 homolog, mitochondrial	1:Experimental evidence at protein level	8.65	1.0000	0.9990	5	5	5	7	7	7	27141933	27141933	27141933	11K(304.2071), 15K(304.2071), 18K(304.2071), 7M(15.9949), 9C(57.0214), N-term(304.2071)			556064.9434	506496.5938	693551.0664	649534.5156	665798.1543	661525.0449	660745.0273	665062.6016	574343.8105	728407.4395	1030330.1738	922848.7695	684971.3066	724164.6914	668604.4141	298630.6299	239367.1963	250917.9316
sp|Q9Y2Z9|COQ6_HUMAN	Q9Y2Z9	COQ6_HUMAN	COQ6	468	Homo sapiens	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	1:Experimental evidence at protein level	11.75	1.0000	0.9990	5	5	5	9	9	9	53478630	53478630	53478630	13K(304.2071), 14K(304.2071), 4M(15.9949), 9K(304.2071), N-term(304.2071)			1104976.4531	982346.3359	1470057.1328	1308433.8750	1385951.8008	1250062.0859	1383035.0156	1285623.3555	1142276.0859	1292679.8984	1556136.9766	1649850.3984	1329773.1992	1392064.4805	1274083.4805	700597.7480	584107.5156	614888.7715
sp|Q9Y305|ACOT9_HUMAN	Q9Y305	ACOT9_HUMAN	ACOT9	439	Homo sapiens	Acyl-coenzyme A thioesterase 9, mitochondrial	1:Experimental evidence at protein level	10.93	1.0000	0.9990	4	4	4	7	7	7	25541926	25541926	25541926	10K(304.2071), 6M(15.9949), 7M(15.9949), N-term(304.2071)			323205.6602	298524.3047	394262.2031	364773.2148	361949.8203	365018.7852	383058.1836	372024.3750	318485.7656	367019.5078	412656.7188	474008.9180	352995.4062	399034.7305	370129.2695	184457.8496	182461.8008	183965.4805
sp|Q9Y314|NOSIP_HUMAN	Q9Y314	NOSIP_HUMAN	NOSIP	301	Homo sapiens	Nitric oxide synthase-interacting protein	1:Experimental evidence at protein level	31.23	1.0000	0.9990	10	10	10	14	14	14	93780770	93780770	93780770	10C(57.0214), 11K(304.2071), 13K(304.2071), 1K(304.2071), 23C(57.0214), 26K(304.2071), 2C(57.0214), 4C(57.0214), 6M(15.9949), 9C(57.0214), 9K(304.2071), N-term(304.2071)			1443683.9141	1346553.4551	1823085.7148	1538487.4531	1586328.5352	1495123.0820	1681790.1914	1674484.7188	1458701.5684	1273228.3203	1403105.0312	1714082.4531	1628232.4492	1827104.0977	1699799.9453	866582.9707	789401.1396	805554.5449
sp|Q9Y315|DEOC_HUMAN	Q9Y315	DEOC_HUMAN	DERA	318	Homo sapiens	Deoxyribose-phosphate aldolase	1:Experimental evidence at protein level	36.16	1.0000	0.9990	10	10	10	11	11	11	88254111	88254111	88254111	11K(304.2071), 14K(304.2071), 16K(304.2071), 1K(304.2071), 23K(304.2071), 2C(57.0214), 3C(57.0214), 4C(57.0214), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			1350335.4463	1330318.2881	1698226.3164	1497199.0977	1546271.6953	1482488.3594	1570335.2949	1610863.0020	1398747.8564	1523950.4590	1748262.0957	2025796.1855	1598896.4648	1802752.7227	1686303.3750	1344208.1055	1263448.0469	1251617.3496
sp|Q9Y316|MEMO1_HUMAN	Q9Y316	MEMO1_HUMAN	MEMO1	297	Homo sapiens	Protein MEMO1	1:Experimental evidence at protein level	30.64	1.0000	0.9990	7	7	7	9	9	9	126894156	126894156	126894156	14M(15.9949), 1C(57.0214), 1K(304.2071), 21K(304.2071), 23K(304.2071), 2M(15.9949), 6K(304.2071), 7C(57.0214), 7K(304.2071), N-term(304.2071)			1583971.0859	1441414.0586	1998556.0078	1738312.5293	1815330.5469	1712096.6133	1940210.3516	1925841.6133	1632997.8320	2044923.5469	2158638.5469	2667533.4336	2091266.3477	2415425.5938	2146838.8438	1553618.0254	1421668.5547	1511785.9590
sp|Q9Y320|TMX2_HUMAN	Q9Y320	TMX2_HUMAN	TMX2	296	Homo sapiens	Thioredoxin-related transmembrane protein 2	1:Experimental evidence at protein level	12.50	1.0000	0.9990	4	4	4	6	6	6	405889448	405889448	405889448	12K(304.2071), N-term(304.2071)			5943752.1562	5605882.2500	7049212.8750	6767850.4219	6471870.6719	6614976.5625	6774241.5000	7083848.0625	5984564.9844	8474592.3594	8650756.6250	10407968.1406	6678357.7812	8249384.1094	7634249.9844	4104875.9453	3886750.9922	4058853.9844
sp|Q9Y324|FCF1_HUMAN	Q9Y324	FCF1_HUMAN	FCF1	198	Homo sapiens	rRNA-processing protein FCF1 homolog	2:Experimental evidence at transcript level	20.20	1.0000	0.9990	4	4	4	4	4	4	37350285	37350285	37350285	1K(304.2071), 7C(57.0214), 7K(304.2071), 7M(15.9949), N-term(304.2071)			333609.8799	308777.0684	439134.2637	390222.5645	396187.2109	383507.5527	401965.2305	407436.1562	341047.1748	421279.0859	469467.0371	539819.2891	429952.9375	459611.8809	436728.8535	238376.5322	212407.6631	236029.3096
sp|Q9Y330|ZBT12_HUMAN	Q9Y330	ZBT12_HUMAN	ZBTB12	459	Homo sapiens	Zinc finger and BTB domain-containing protein 12	1:Experimental evidence at protein level	6.97	1.0000	0.9990	3	3	3	4	4	4	38360057	38360057	38360057	17K(304.2071), 3K(304.2071), 4K(304.2071), 7K(304.2071), N-term(304.2071)			1215054.6055	1008998.0352	1345138.1406	1296012.7969	1203532.2656	1196818.5312	1363889.2422	1332848.5312	1083476.1562	1730354.6094	1809450.5938	1921205.2812	1579599.9922	1863675.5312	1650403.5078	456305.2148	395506.6074	399028.0410
sp|Q9Y333|LSM2_HUMAN	Q9Y333	LSM2_HUMAN	LSM2	95	Homo sapiens	U6 snRNA-associated Sm-like protein LSm2	1:Experimental evidence at protein level	54.74	1.0000	0.9990	5	5	5	18	18	18	344847522	344847522	344847522	11K(304.2071), 15M(15.9949), 19K(304.2071), 1K(304.2071), 4M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)			8196047.3086	7953033.5947	10684064.6465	9658464.2539	9419200.9590	9334283.7480	10020913.4453	9516419.4863	8594161.8262	11671119.2910	12045516.6973	14663439.7266	10527383.1270	11989851.3105	11316857.5410	6376840.5859	6673651.1621	6744318.8691
sp|Q9Y371|SHLB1_HUMAN	Q9Y371	SHLB1_HUMAN	SH3GLB1	365	Homo sapiens	Endophilin-B1	1:Experimental evidence at protein level	22.19	1.0000	0.9990	9	8	8	11	10	10	85891617	57923529	85891617	13K(304.2071), 1K(304.2071), 2K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			1901003.6699	1729159.4453	2336268.1562	2276483.1719	2231767.1387	2214205.9043	2340479.1133	2326025.9336	1966540.6738	2091325.0859	2129991.1328	2609586.2148	1961119.8516	2285611.0547	2119537.5234	2228781.2891	2035365.4961	2138281.2227
sp|Q9Y376|CAB39_HUMAN	Q9Y376	CAB39_HUMAN	CAB39	341	Homo sapiens	Calcium-binding protein 39	1:Experimental evidence at protein level	36.07	1.0000	0.9990	13	12	13	31	29	31	341850832	341850832	341850832	10K(304.2071), 11C(57.0214), 11K(304.2071), 14M(15.9949), 15K(304.2071), 3M(15.9949), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			8254213.5273	7876636.6211	10199403.6855	9233163.5215	9067697.4268	9016241.3340	9430649.9629	9751061.7891	8525010.9609	10313450.1992	11104374.7275	13467369.3027	10150866.2988	12075212.4395	10841912.3477	10258557.5166	9608226.7070	10209189.4238
sp|Q9Y383|LC7L2_HUMAN	Q9Y383	LC7L2_HUMAN	LUC7L2	392	Homo sapiens	Putative RNA-binding protein Luc7-like 2	1:Experimental evidence at protein level	40.05	1.0000	0.9990	17	10	17	133	103	133	565751472	471585256	565751472	10K(304.2071), 12K(304.2071), 15K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3M(15.9949), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			19659961.0039	18547175.8848	23770095.7012	21306368.7754	21100057.0840	20948508.0176	23311975.5430	22932836.4629	19561138.8242	24304276.1953	26058397.0566	31008717.9277	22123623.1309	25500093.7012	23433358.3340	15852840.8047	14327612.8262	15348528.4375
sp|Q9Y385|UB2J1_HUMAN	Q9Y385	UB2J1_HUMAN	UBE2J1	318	Homo sapiens	Ubiquitin-conjugating enzyme E2 J1	1:Experimental evidence at protein level	7.23	1.0000	0.9990	2	2	2	4	4	4	23623483	23623483	23623483	8K(304.2071), N-term(304.2071)			470891.1875	431866.9844	545405.8750	471145.2266	486677.8984	469100.6172	549466.3203	529956.0469	478641.7891	413984.6719	423796.7891	487058.9922	385936.8828	422771.8750	379094.5469	411551.1641	370399.5234	379064.8359
sp|Q9Y394|DHRS7_HUMAN	Q9Y394	DHRS7_HUMAN	DHRS7	339	Homo sapiens	Dehydrogenase/reductase SDR family member 7	1:Experimental evidence at protein level	8.85	1.0000	0.9990	3	3	3	6	6	6	15577869	15577869	15577869	11K(304.2071), 1C(57.0214), 2M(15.9949), 6M(15.9949), N-term(304.2071)			345516.8984	315129.9629	423282.9297	393461.2617	390991.8633	386843.1211	397955.3281	395432.2109	344495.0508	449312.6992	475871.3398	530380.8008	433438.6523	497872.7578	463794.1094	309422.8848	303422.0801	310598.0859
sp|Q9Y3A2|UTP11_HUMAN	Q9Y3A2	UTP11_HUMAN	UTP11	253	Homo sapiens	Probable U3 small nucleolar RNA-associated protein 11	1:Experimental evidence at protein level	8.30	1.0000	0.9990	3	3	3	9	9	9	54071014	54071014	54071014	11K(304.2071), 13K(304.2071), 2K(304.2071), 4C(57.0214), N-term(304.2071)			215809.5566	212247.5527	264498.3906	259843.8750	251749.1914	243879.5371	263574.6055	265540.4258	221542.8574	283148.7598	316691.0547	377465.5312	278498.5293	323149.5586	315270.3242	179586.0605	163411.6953	179292.0811
sp|Q9Y3A3|PHOCN_HUMAN	Q9Y3A3	PHOCN_HUMAN	MOB4	225	Homo sapiens	MOB-like protein phocein	1:Experimental evidence at protein level	28.00	1.0000	0.9990	6	6	6	12	12	12	56267516	56267516	56267516	12K(304.2071), 14K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 8C(57.0214), 8K(304.2071), N-term(304.2071)			1192148.9043	1136861.0645	1545214.8125	1366548.4453	1392787.6289	1316223.7930	1458793.2930	1473313.9414	1236244.6914	1406081.8359	1498917.2305	1789880.2695	1369048.1719	1619679.7617	1458934.7109	1189822.8750	1412924.8809	1055683.0762
sp|Q9Y3A5|SBDS_HUMAN	Q9Y3A5	SBDS_HUMAN	SBDS	250	Homo sapiens	Ribosome maturation protein SBDS	1:Experimental evidence at protein level	56.40	1.0000	0.9990	17	17	17	41	41	41	525094624	525094624	525094624	10K(304.2071), 16C(57.0214), 17C(57.0214), 17K(304.2071), 18K(304.2071), 1C(57.0214), 1K(304.2071), 5C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			8708986.8193	8550813.7383	10931840.3438	9923213.2891	10188789.1055	10022816.2227	10410582.1152	10468040.2432	9084169.8193	11188930.7363	12075125.6699	14926659.7168	11259398.0635	12603661.5840	11867478.1621	8865932.9482	8068173.0273	8472250.9775
sp|Q9Y3A6|TMED5_HUMAN	Q9Y3A6	TMED5_HUMAN	TMED5	229	Homo sapiens	Transmembrane emp24 domain-containing protein 5	1:Experimental evidence at protein level	13.97	1.0000	0.9989	4	4	4	4	4	4	66541722	66541722	66541722	6K(304.2071), N-term(304.2071)			934703.6250	875914.4609	1125442.6016	1063641.5195	1128094.5273	1042496.5312	1110758.9453	1146594.7734	1010336.2266	1056480.0703	1147418.9922	1347551.3906	1064991.7500	1186644.5234	1149989.1406	1064371.1719	982627.8438	990702.7969
sp|Q9Y3B2|EXOS1_HUMAN	Q9Y3B2	EXOS1_HUMAN	EXOSC1	195	Homo sapiens	Exosome complex component CSL4	1:Experimental evidence at protein level	23.08	1.0000	0.9990	5	5	5	7	7	7	165336660	165336660	165336660	11K(304.2071), 2C(57.0214), 2K(304.2071), 4K(304.2071), 6K(304.2071), 7K(304.2071), N-term(304.2071)			1418500.5723	1418534.7988	1891131.9609	1578572.8223	1633919.9746	1559803.4434	1639655.0293	1690675.8594	1397169.7754	1734262.8691	1843795.8945	2248244.4141	1788294.7812	1965967.3438	1773635.1016	1004950.9629	931538.1035	925410.5312
sp|Q9Y3B3|TMED7_HUMAN	Q9Y3B3	TMED7_HUMAN	TMED7	224	Homo sapiens	Transmembrane emp24 domain-containing protein 7	1:Experimental evidence at protein level	27.23	1.0000	0.9990	5	5	5	9	9	9	486228768	486228768	486228768	11C(57.0214), 17C(57.0214), 19K(304.2071), 1C(57.0214), 6K(304.2071), 7K(304.2071), N-term(304.2071)			4095887.2109	3775793.6094	5023951.4883	4405852.4570	4258494.7695	4312417.6523	4629340.7422	4645505.1523	4172052.9258	5021531.9883	5499658.8438	6569798.0352	5581002.3203	6308241.6016	5887021.8047	5585995.7695	5070731.8516	5560302.6172
